Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
ERR2185444_RNODE_16_length_2795_cov_10.00360	0	0	0	0	0	0	0	0	100	6.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_17_length_2208_cov_14.00000	7.2	6.93	6.79	24.22	81.62	28.43	19.6	88.23	100	81.8	69.53	0	86.01	81.67	79.95	74.74	12.63	99.23	30.1	0	18.92	22.91	0	0	22.27	53.55	25.35	0	12.68
ERR2185444_RNODE_18_length_1362_cov_5.10790	13.57	0	0	0	0	21.13	45.34	0	100	30.59	91.71	0	70.8	9.98	0	0	0	70.95	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_19_length_2775_cov_102.03680	0	13.08	0	40.32	11.42	75.5	12.72	92.65	100	80.79	96.5	0	22.95	0	48.14	20.11	20.11	83.03	0	0	0	0	0	0	10.09	0	0	0	0
ERR2185444_RNODE_1_length_3200_cov_11.47410	0	0	0	0	20.77	0	8.75	54.26	100	0	0	0	0	0	0	8.72	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_20_length_1042_cov_11.64110	15.24	13.33	38.35	50.24	39.31	82.07	18.79	83.7	100	100	82.17	0	38.93	13.42	0	0	0	0	26.56	0	0	0	0	24.54	0	0	0	0	0
ERR2185444_RNODE_21_length_2428_cov_34.38550	0	33.96	0	0	6.01	16.67	0	74.89	100	0	42.82	0	0	65.66	75.17	57.47	0	7.37	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_22_length_1795_cov_17.53870	0	0	0	19.05	18.16	0	0	57.55	100	7.47	33.82	0	0	0	7.69	0	0	0	7.8	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_23_length_1522_cov_15.00990	0	35.46	26.72	18.32	87.2	0	0	27.25	100	0	29.48	0	0	0	18.32	0	0	0	18.25	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_24_length_1776_cov_19.12780	0	15.59	0	0	34.1	61.96	35.96	27.8	100	12.94	48.73	0	89.98	15.76	44.79	44.46	0	74.17	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_25_length_2258_cov_35.27550	0	29.35	0	18.64	0	23.02	12.35	90.97	100	37.27	66.58	0	29.35	8.15	6.2	12.31	0	6.2	6.15	0	0	0	0	0	0	0	0	0	0
